Event,Primary mass (M_sun),Secondary mass (M_sun),Effective inspiral spin,chirp mass (M_sun),Final spin,Final mass (M_sun),Luminosity distance (Mpc),Peak Luminosity (10^56 erg s^-1),FAR cWB (yr^-1),FAR gstLAL (yr^-1),FAR PyCBC  (yr^-1),Sky Lovalization (deg^2),Network SNR cWB,Network SNR gstLAL,Network SNR PyCBC
GW150914,35.6 +4.8-3.0,30.6 +3.0-4.4,-0.02,28.6 +1.6-1.5,0.69 +0.05-0.04,63.1 +3.3-3.0,430 +150-170,3.6 +0.4-0.4,< 1.63e-04,< 1.00e-07,< 1.53e-05,179,25.2,24.4,23.6
GW151012,23.3 +14.0-5.5,13.6 +4.1-4.8,0.04 +0.28-0.19,15.2 +2.0-1.1,0.67 +0.13-0.11,35.7 +9.9-3.8,1060 +540-480,3.2 +0.8-1.7,NA,7.92E-03,0.17,1555,NA,10,9.5
GW151226,13.7 +8.8-3.2,7.7 +2.2-2.6,0.18 +0.20-0.12,8.9 +0.3-0.3,0.74 +0.07-0.05,20.5 +6.4-1.5,440 +180-190,3.4 +0.7-1.7,0.02,< 1.00e-07,< 1.69e-05,1033,11.9,13.1,13.1
GW170104,31.0 +7.2-5.6,20.1 +4.9-4.5,-0.07,21.5 +2.1-1.7,0.66 +0.08-0.10,49.1 +5.2-3.9,960 +430-410,3.3 +0.6-0.9,2.91E-04,< 1.00e-07,< 1.37e-05,924,13,13,13
GW170608,10.9 +5.3-1.7,7.6 +1.3-2.1,0.03 +0.19-0.07,7.9 +0.2-0.2,0.69 +0.04-0.04,17.8 +3.2-0.7,320 +120-110,3.5 +0.4-1.3,1.44E-04,< 1.00e-07,< 3.09e-04,396,14.1,14.9,15.4
GW170729,50.6 +16.6-10.2,34.3 +9.1-10.1,0.36 +0.21-0.25,35.7 +6.5-4.7,0.81 +0.07-0.13,80.3 +14.6-10.2,2750 +1350-1320,4.2 +0.9-1.5,2.00E-02,0.18,1.36,1033,10.2,10.8,9.8
GW170809,35.2 +8.3-6.0,23.8 +5.2-5.1,0.07 +0.16-0.16,25.0 +2.1-1.6,0.70 +0.08-0.09,56.4 +5.2-3.7,990 +320-380,3.5 +0.6-0.9,NA,< 1.00e-07,1.45E-04,340,NA,12.4,12.2
GW170814,30.7 +5.7-3.0,25.3 +2.9-4.1,0.07 +0.12-0.11,24.2 +1.4-1.1,0.72 +0.07-0.05,53.4 +3.2-2.4,580 +160-210,3.7 +0.4-0.5,< 2.08e-04,< 1.00e-07,< 1.25e-05,87,17.2,15.9,16.3
GW170817,1.46 +0.12-0.10,1.27 +0.09-0.09,0.00 +0.02-0.01,1.186 +0.001-0.001,≤0.89,≤2.8,40 +10-10,≥ 0.1,NA,< 1.00e-07,< 1.25e-05,16,NA,33,30.9
GW170818,35.5 +7.5-4.7,26.8 +4.3-5.2,-0.12,26.7 +2.1-1.7,0.67 +0.07-0.08,59.8 +4.8-3.8,1020 +430-360,3.4 +0.5-0.7,NA,4.20E-05,NA,39,NA,11.3,NA
GW170823,39.6 +10.0-6.6,29.4 +6.3-7.1,0.08 +0.20-0.22,29.3 +4.2-3.2,0.71 +0.08-0.10,65.6 +9.4-6.6,1850 +840-840,3.6 +0.6-0.9,2.14E-03,< 1.00e-07,< 3.29e-05,1651,10.8,11.5,11.1
