Event,GPS Time (s),FAR (yr^-1),Pipeline,Network SNR,Detector Frame Chirp Mass (M_sun),Data Quality
151008,1128348574.50,10.17,pycbc,8.8,5.12,No artifacts
151012A,1128666662.20,8.56,gstlal,9.6,2.01,Artifacts present
151116,1131748925.70,4.77,pycbc,9,1.24,No artifacts
161202,1164686041.90,6,gstlal,10.5,1.54,Artifacts can account for
161217,1165994201.40,10.12,gstlal,10.7,7.86,Artifacts can account for
170208,1170585583.80,11.18,gstlal,10,7.39,Artifacts present
170219,1171548267.00,6.26,gstlal,9.6,1.53,No artifacts
170405,1175425510.70,4.55,gstlal,9.3,1.44,Artifacts present
170412,1176047817.00,8.22,gstlal,9.7,4.36,Artifacts can account for
170423,1176984663.00,6.47,gstlal,8.9,1.17,No artifacts
170616,1181677658.80,1.94,pycbc,9.1,2.75,Artifacts present
170630,1182874645.80,10.46,gstlal,9.7,0.9,Artifacts present
170705,1183279534.30,10.97,gstlal,9.3,3.4,No artifacts
170720,1184625889.80,10.75,gstlal,13,5.96,Artifacts can account for
